try_number,demand_scenario,preemption_strategy,hold_duration,priority_enabled,priority_distance,vehicle_id,start_time,end_time,travel_time
1,normal,none,0,False,0.0,241,438.0,625.0,187.0
1,normal,none,0,False,0.0,301,543.0,627.0,84.0
1,normal,none,0,False,0.0,292,529.0,628.0,99.0
1,normal,none,0,False,0.0,278,552.0,631.0,79.0
1,normal,none,0,False,0.0,312,563.0,631.0,68.0
1,normal,none,0,False,0.0,282,509.0,633.0,124.0
1,normal,none,0,False,0.0,218,394.0,635.0,241.0
1,normal,none,0,False,0.0,291,525.0,638.0,113.0
1,normal,none,0,False,0.0,236,426.0,642.0,216.0
1,normal,none,0,False,0.0,286,516.0,642.0,126.0
1,normal,none,0,False,0.0,295,532.0,647.0,115.0
1,normal,none,0,False,0.0,318,574.0,648.0,74.0
1,normal,none,0,False,0.0,246,447.0,650.0,203.0
1,normal,none,0,False,0.0,349,630.0,658.0,28.0
1,normal,none,0,False,0.0,277,500.0,662.0,162.0
1,normal,none,0,False,0.0,307,554.0,663.0,109.0
1,normal,none,0,False,0.0,257,464.0,668.0,204.0
1,normal,none,0,False,0.0,342,617.0,668.0,51.0
1,normal,none,0,False,0.0,281,507.0,670.0,163.0
1,normal,none,0,False,0.0,341,615.0,670.0,55.0
1,normal,none,0,False,0.0,273,493.0,671.0,178.0
1,normal,none,0,False,0.0,313,567.0,671.0,104.0
1,normal,none,0,False,0.0,340,614.0,671.0,57.0
1,normal,none,0,False,0.0,319,576.0,673.0,97.0
1,normal,none,0,False,0.0,305,550.0,677.0,127.0
1,normal,none,0,False,0.0,351,633.0,677.0,44.0
1,normal,none,0,False,0.0,248,448.0,680.0,232.0
1,normal,none,0,False,0.0,311,561.0,681.0,120.0
1,normal,none,0,False,0.0,321,580.0,683.0,103.0
1,normal,none,0,False,0.0,284,513.0,685.0,172.0
1,normal,none,0,False,0.0,339,612.0,685.0,73.0
1,normal,none,0,False,0.0,323,583.0,687.0,104.0
1,normal,none,0,False,0.0,261,471.0,692.0,221.0
1,normal,none,0,False,0.0,317,572.0,693.0,121.0
1,normal,none,0,False,0.0,343,619.0,693.0,74.0
1,normal,none,0,False,0.0,289,522.0,695.0,173.0
1,normal,none,0,False,0.0,302,552.0,698.0,146.0
1,normal,none,0,False,0.0,272,493.0,700.0,207.0
1,normal,none,0,False,0.0,293,529.0,700.0,171.0
1,normal,none,0,False,0.0,230,415.0,701.0,286.0
1,normal,none,0,False,0.0,285,514.0,710.0,196.0
1,normal,none,0,False,0.0,288,520.0,710.0,190.0
1,normal,none,0,False,0.0,331,597.0,710.0,113.0
1,normal,none,0,False,0.0,353,637.0,712.0,75.0
1,normal,none,0,False,0.0,253,462.0,717.0,255.0
1,normal,none,0,False,0.0,287,518.0,718.0,200.0
1,normal,none,0,False,0.0,314,597.0,719.0,122.0
1,normal,none,0,False,0.0,383,692.0,721.0,29.0
1,normal,none,0,False,0.0,303,547.0,723.0,176.0
1,normal,none,0,False,0.0,361,651.0,723.0,72.0
1,normal,none,0,False,0.0,379,684.0,723.0,39.0
1,normal,none,0,False,0.0,367,662.0,725.0,63.0
1,normal,none,0,False,0.0,304,549.0,726.0,177.0
1,normal,none,0,False,0.0,299,540.0,729.0,189.0
1,normal,none,0,False,0.0,315,568.0,733.0,165.0
1,normal,none,0,False,0.0,402,725.0,733.0,8.0
1,normal,none,0,False,0.0,360,649.0,744.0,95.0
1,normal,none,0,False,0.0,357,650.0,747.0,97.0
1,normal,none,0,False,0.0,394,712.0,747.0,35.0
1,normal,none,0,False,0.0,374,675.0,748.0,73.0
1,normal,none,0,False,0.0,336,606.0,749.0,143.0
1,normal,none,0,False,0.0,370,667.0,749.0,82.0
1,normal,none,0,False,0.0,362,653.0,758.0,105.0
1,normal,none,0,False,0.0,344,621.0,759.0,138.0
1,normal,none,0,False,0.0,345,622.0,765.0,143.0
1,normal,none,0,False,0.0,375,681.0,766.0,85.0
1,normal,none,0,False,0.0,417,752.0,769.0,17.0
1,normal,none,0,False,0.0,310,561.0,771.0,210.0
1,normal,none,0,False,0.0,384,693.0,775.0,82.0
1,normal,none,0,False,0.0,416,750.0,777.0,27.0
1,normal,none,0,False,0.0,260,469.0,778.0,309.0
1,normal,none,0,False,0.0,298,538.0,781.0,243.0
1,normal,none,0,False,0.0,392,707.0,781.0,74.0
1,normal,none,0,False,0.0,300,541.0,783.0,242.0
1,normal,none,0,False,0.0,335,604.0,784.0,180.0
1,normal,none,0,False,0.0,359,648.0,784.0,136.0
1,normal,none,0,False,0.0,355,640.0,785.0,145.0
1,normal,none,0,False,0.0,389,702.0,785.0,83.0
1,normal,none,0,False,0.0,407,734.0,789.0,55.0
